name,X,Y,Z,median_x,median_y
slope,0,0,0,800,47
slope,0,0,0,621,52
slope,0,0,0,615,48
slope,0,0,0,962,42
slope,0,0,0,952,41
slope,0,0,0,954,41
slope,0,0,0,958,42
slope,0,0,0,941,59
slope,0,0,0,709,53
slope,0,0,0,946,59
slope,0,0,0,720,53
slope,0,0,0,935,62
slope,0,0,0,655,60
slope,0,0,0,595,61
slope,0,0,0,930,71
slope,0,0,0,658,85
slope,0,0,0,618,101
slope,0,0,0,585,97
slope,0,0,0,454,90
slope,0,0,0,463,89
slope,0,0,0,454,87
slope,0,0,0,458,87
slope,0,0,0,458,105
slope,0,0,0,803,113
slope,0,0,0,744,119
slope,0,0,0,823,119
slope,0,0,0,932,123
slope,0,0,0,625,109
slope,0,0,0,465,104
slope,0,0,0,458,105
slope,0,0,0,648,119
slope,0,0,0,465,125
slope,0,0,0,609,119
slope,0,0,0,452,103
slope,0,0,0,797,113
slope,0,0,0,443,85
slope,0,0,0,444,94
slope,0,0,0,432,100
slope,0,0,0,438,109
slope,0,0,0,817,127
slope,0,0,0,342,64
slope,0,0,0,905,90
slope,0,0,0,426,88
slope,0,0,0,753,111
slope,0,0,0,669,102
slope,0,0,0,838,113
slope,0,0,0,426,104
slope,0,0,0,420,119
slope,0,0,0,426,109
slope,0,0,0,721,107
slope,0,0,0,430,100
slope,0,0,0,542,93
slope,0,0,0,945,101
slope,0,0,0,586,109
slope,0,0,0,839,103
slope,0,0,0,768,129
slope,0,0,0,782,111
slope,0,0,0,906,144
slope,0,0,0,861,132
slope,0,0,0,471,125
slope,0,0,0,452,129
slope,0,0,0,760,150
slope,0,0,0,454,136
slope,0,0,0,695,141
slope,0,0,0,684,145
slope,0,0,0,886,179
slope,0,0,0,840,179
slope,0,0,0,444,161
slope,0,0,0,668,167
slope,0,0,0,532,167
slope,0,0,0,452,189
slope,0,0,0,428,184
slope,0,0,0,729,189
slope,0,0,0,684,194
slope,0,0,0,803,202
slope,0,0,0,827,200
slope,0,0,0,705,214
slope,0,0,0,412,203
slope,0,0,0,420,189
slope,0,0,0,420,182
slope,0,0,0,587,209
slope,0,0,0,388,185
slope,0,0,0,380,199
slope,0,0,0,679,214
slope,0,0,0,396,213
slope,0,0,0,373,213
slope,0,0,0,398,212
slope,0,0,0,551,221
slope,0,0,0,508,231
slope,0,0,0,750,227
slope,0,0,0,728,262
slope,0,0,0,840,267
slope,0,0,0,224,148
slope,0,0,0,360,233
slope,0,0,0,362,229
slope,0,0,0,358,247
slope,0,0,0,212,164
slope,0,0,0,205,170
slope,0,0,0,215,198
slope,0,0,0,188,196
slope,0,0,0,1195,188
slope,0,0,0,1195,179
slope,0,0,0,1186,189
slope,0,0,0,1182,197
slope,0,0,0,1182,202
slope,0,0,0,1184,193
slope,0,0,0,1188,193
slope,0,0,0,1195,201
slope,0,0,0,1194,212
slope,0,0,0,1196,219
slope,0,0,0,109,261
slope,0,0,0,1209,233
slope,0,0,0,155,277
slope,0,0,0,114,266
slope,0,0,0,104,258
slope,0,0,0,137,279
slope,0,0,0,84,256
slope,0,0,0,86,269
slope,0,0,0,81,274
slope,0,0,0,76,277
slope,0,0,0,66,273
slope,0,0,0,70,295
slope,0,0,0,60,302
slope,0,0,0,49,296
slope,0,0,0,44,290
slope,0,0,0,46,303
slope,0,0,0,46,311
slope,0,0,0,40,317
slope,0,0,0,29,311
slope,0,0,0,438,462
slope,0,0,0,734,463
slope,0,0,0,487,457
slope,0,0,0,471,453
slope,0,0,0,436,452
slope,0,0,0,692,488
slope,0,0,0,438,459
slope,0,0,0,440,495
slope,0,0,0,932,483
slope,0,0,0,812,479
slope,0,0,0,171,437
slope,0,0,0,164,445
slope,0,0,0,164,447
slope,0,0,0,158,443
slope,0,0,0,13,293
slope,0,0,0,16,235
slope,0,0,0,939,500
slope,0,0,0,72,227
slope,0,0,0,88,229
slope,0,0,0,14,265
slope,0,0,0,878,528
slope,0,0,0,551,498
slope,0,0,0,830,572
slope,0,0,0,1163,481
slope,0,0,0,915,466
slope,0,0,0,24,306
slope,0,0,0,924,490
slope,0,0,0,951,488
slope,0,0,0,911,495
slope,0,0,0,26,297
slope,0,0,0,562,497
slope,0,0,0,566,494
slope,0,0,0,572,490
slope,0,0,0,614,491
slope,0,0,0,595,509
slope,0,0,0,727,497
slope,0,0,0,632,538
slope,0,0,0,146,481
slope,0,0,0,578,484
slope,0,0,0,1192,498
slope,0,0,0,1192,477
slope,0,0,0,564,493
slope,0,0,0,150,487
slope,0,0,0,1192,490
slope,0,0,0,152,475
slope,0,0,0,156,467
slope,0,0,0,155,467
slope,0,0,0,154,468
slope,0,0,0,526,516
slope,0,0,0,154,471
slope,0,0,0,155,467
slope,0,0,0,154,470
slope,0,0,0,153,471
slope,0,0,0,154,469
slope,0,0,0,593,503
slope,0,0,0,156,469
slope,0,0,0,152,473
slope,0,0,0,157,466
