処理名,時間（秒）,成功率（%）
平面,0.0586857795715332,
成功率,,100.0
平面,0.061461687088012695,
成功率,,100.0
平面,0.06004500389099121,
成功率,,100.0
平面,0.06561493873596191,
成功率,,100.0
平面,0.07060003280639648,
成功率,,100.0
平面,0.06516742706298828,
成功率,,100.0
平面,0.06853508949279785,
成功率,,100.0
平面,0.06569552421569824,
成功率,,100.0
平面,0.062468528747558594,
成功率,,100.0
平面,0.06776785850524902,
成功率,,100.0
平面,0.07088804244995117,
成功率,,100.0
平面,0.06436944007873535,
成功率,,100.0
平面,0.06965065002441406,
成功率,,100.0
平面,0.08023715019226074,
成功率,,100.0
平面,0.06731629371643066,
成功率,,100.0
平面,0.06311917304992676,
成功率,,100.0
平面,0.0629720687866211,
成功率,,100.0
平面,0.05855822563171387,
成功率,,100.0
平面,0.06456232070922852,
成功率,,100.0
平面,0.06434988975524902,
成功率,,100.0
平面,0.0752267837524414,
成功率,,100.0
セグメンテーション,0.035453081130981445
平面,0.0627903938293457,
成功率,,100.0
セグメンテーション,0.024404525756835938
平面,0.05759763717651367,
成功率,,100.0
セグメンテーション,0.0305938720703125
平面,0.06673336029052734,
成功率,,100.0
セグメンテーション,0.05823230743408203
平面,0.06693768501281738,
成功率,,100.0
セグメンテーション,0.024815797805786133
平面,0.061582088470458984,
成功率,,100.0
セグメンテーション,0.02490997314453125
平面,0.07264447212219238,
成功率,,100.0
セグメンテーション,0.025939464569091797
平面,0.08544015884399414,
成功率,,100.0
セグメンテーション,0.026053190231323242
平面,0.12214803695678711,
成功率,,100.0
セグメンテーション,0.0532076358795166
平面,0.21226811408996582,
成功率,,100.0
セグメンテーション,0.031737327575683594
平面,0.16527962684631348,
成功率,,100.0
セグメンテーション,0.14742612838745117
平面,0.14027070999145508,
成功率,,100.0
セグメンテーション,0.13747882843017578
平面,0.1525285243988037,
成功率,,100.0
セグメンテーション,0.12611055374145508
平面,0.12140965461730957,
成功率,,100.0
セグメンテーション,0.10208868980407715
平面,0.12781167030334473,
成功率,,100.0
セグメンテーション,0.02745985984802246
平面,0.13075566291809082,
成功率,,100.0
セグメンテーション,0.025094032287597656
平面,0.12564992904663086,
成功率,,100.0
セグメンテーション,0.08327651023864746
平面,0.05963325500488281,
成功率,,100.0
平面,0.06428694725036621,
成功率,,100.0
