name,X,Y,Z,distance
slope,-0.798123960471408,0.041627411558564,1.58,1.771
slope,-0.7961696307313498,0.045177654113026655,1.583,1.773
slope,-0.8124613096530128,0.04306391209043589,1.353,1.579
slope,-0.7560081466599464,0.04274830099452282,1.391,1.584
slope,-0.8094975617212002,0.03879078202032088,1.606,1.799
slope,-0.8173783767350282,0.03748719151028598,1.707,1.893
slope,-0.7967086121212589,0.0403496003064353,1.598,1.786
slope,-0.7964421689152648,0.0383318624322847,1.587,1.776
slope,-0.8099179423512937,0.037575034958464745,1.711,1.893
slope,-0.9638273405760723,0.04330544329528232,2.464,2.646
slope,-0.8049285596318585,0.03507316029071738,1.681,1.864
slope,-0.8031091406942688,0.03823524778217182,1.583,1.775
slope,-0.8047648713668549,0.0404090774097116,1.673,1.857
slope,-0.8083281330676867,0.03848257075609324,1.669,1.855
slope,-0.796705939556586,0.038428477082397584,1.591,1.780
slope,-0.8179467480418483,0.03953954555869569,1.637,1.830
slope,-0.7995578052647933,0.03806617214447429,1.576,1.768
slope,-0.8196105376133342,0.03672145277314847,1.76,1.942
slope,-0.7975284707336643,0.04141663985447,1.572,1.763
slope,-0.7500525351537507,0.04207219558698903,1.369,1.562
slope,-0.7974074363439765,0.04123221461338775,1.565,1.757
slope,-0.7962361976188795,0.037026013407347486,1.686,1.865
slope,-0.7984495845899093,0.03668410429774976,1.591,1.780
slope,-0.7932201272468283,0.03802142551036414,1.649,1.830
slope,-0.7986545863675388,0.04142353123589683,1.715,1.892
slope,-0.796705939556586,0.04017284986704541,1.591,1.780
slope,-0.7981252514685092,0.03711385685552625,1.69,1.869
slope,-0.7935805688213498,0.03542287047808511,1.613,1.798
slope,-0.7953517772448049,0.04011923345937297,1.661,1.842
slope,-0.7570683793002997,0.041727116593171805,1.311,1.514
slope,-0.7842746903362847,0.0399260041591472,1.653,1.830
slope,-0.7949290839238419,0.03748719151028598,1.707,1.883
slope,-0.8526347558493707,0.04326289822803947,1.97,2.147
slope,-0.8009166233268461,0.03839034170694742,1.665,1.848
slope,-0.816807148779389,0.042417805448916476,1.61,1.806
slope,-0.7860069665681919,0.04059705651600621,1.321,1.538
slope,-0.7409235951125391,0.03898463393455112,1.366,1.554
slope,-0.856324218336373,0.04004058668387644,1.403,1.644
slope,-0.7486382937165565,0.04108876953966715,1.337,1.533
slope,-0.7961696307313498,0.03823524778217182,1.583,1.772
slope,-0.8062739434309152,0.04011923345937297,1.661,1.847
slope,-0.7611106971150229,0.03905980480542376,1.318,1.522
slope,-0.8069997267500953,0.039442930908582814,1.633,1.822
slope,-0.8661084909815827,0.03978373331241893,1.3940000000000001,1.642
slope,-0.7498824525065244,0.04099657334773073,1.334,1.531
