name,distance
bottle,0.658
bottle,0.704
bottle,0.787
bottle,0.938
bottle,0.988
bottle,0.969
bottle,0.860
bottle,0.842
bottle,0.830
bottle,0.824
bottle,0.825
bottle,0.824
bottle,0.825
bottle,0.824
bottle,0.824
bottle,0.822
bottle,0.825
bottle,0.827
bottle,0.832
bottle,0.830
bottle,0.828
bottle,0.828
bottle,0.829
bottle,0.829
bottle,0.830
bottle,0.828
bottle,0.827
bottle,0.829
bottle,0.829
bottle,0.829
bottle,0.829
bottle,0.828
bottle,0.827
bottle,0.828
bottle,0.827
bottle,0.826
bottle,0.827
bottle,0.826
bottle,0.826
bottle,0.826
bottle,0.826
bottle,0.826
bottle,0.825
bottle,0.824
bottle,0.825
bottle,0.826
bottle,0.827
bottle,0.824
bottle,0.824
bottle,0.824
bottle,0.824
bottle,0.825
bottle,0.826
bottle,0.827
bottle,0.825
bottle,0.825
bottle,0.825
bottle,0.824
bottle,0.825
bottle,0.825
bottle,0.826
bottle,0.826
bottle,0.824
bottle,0.822
bottle,0.820
bottle,0.821
bottle,0.821
bottle,0.819
bottle,0.819
bottle,0.820
bottle,0.820
bottle,0.820
bottle,0.819
bottle,0.818
bottle,0.819
bottle,0.818
bottle,0.820
bottle,0.820
bottle,0.821
bottle,0.820
bottle,0.822
bottle,0.823
bottle,0.820
bottle,0.818
bottle,0.795
bottle,0.733
bottle,0.661
