name,distance
bottle,0.243
bottle,0.248
bottle,0.254
bottle,0.254
bottle,0.255
bottle,0.255
bottle,0.256
bottle,0.256
bottle,0.255
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.255
bottle,0.256
bottle,0.256
bottle,0.256
bottle,0.255
bottle,0.256
bottle,0.256
bottle,0.255
bottle,0.255
bottle,0.255
bottle,0.254
bottle,0.254
bottle,0.254
bottle,0.254
bottle,0.730
bottle,0.262
bottle,0.248
bottle,0.241
bottle,0.236
bottle,0.235
bottle,0.235
bottle,0.235
bottle,0.235
bottle,0.235
bottle,0.233
bottle,0.233
bottle,0.235
bottle,0.235
bottle,0.243
bottle,0.249
bottle,0.257
bottle,0.258
bottle,0.259
bottle,0.264
bottle,0.304
bottle,0.259
bottle,0.730
bottle,0.215
bottle,0.206
bottle,0.205
bottle,0.205
bottle,0.204
bottle,0.200
bottle,0.198
bottle,0.198
bottle,0.198
bottle,0.199
bottle,0.197
bottle,0.193
bottle,0.730
bottle,0.257
bottle,0.259
bottle,0.262
bottle,0.266
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.267
bottle,0.275
bottle,0.291
bottle,0.297
bottle,0.295
bottle,0.295
bottle,0.296
bottle,0.294
bottle,0.294
bottle,0.293
bottle,0.297
bottle,0.301
bottle,0.303
bottle,0.303
bottle,0.303
bottle,0.303
bottle,0.304
bottle,0.305
bottle,0.304
bottle,0.305
bottle,0.306
bottle,0.307
bottle,0.306
bottle,0.307
bottle,0.305
bottle,0.306
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.311
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.310
bottle,0.311
bottle,0.309
bottle,0.316
bottle,0.316
bottle,0.315
bottle,0.317
bottle,0.317
bottle,0.315
bottle,0.314
bottle,0.311
bottle,0.301
bottle,0.301
bottle,0.303
bottle,0.312
bottle,0.889
bottle,0.892
bottle,0.879
bottle,0.879
bottle,0.874
bottle,0.873
bottle,0.871
bottle,0.867
bottle,0.877
bottle,0.887
bottle,0.897
bottle,0.918
bottle,0.944
bottle,0.941
bottle,0.936
bottle,0.927
bottle,0.927
bottle,0.927
bottle,0.930
bottle,0.929
bottle,0.932
bottle,0.933
bottle,0.937
bottle,0.933
bottle,0.934
bottle,0.934
bottle,0.937
bottle,0.938
bottle,0.939
bottle,0.945
bottle,0.944
bottle,0.941
bottle,0.941
bottle,0.942
bottle,0.940
bottle,0.942
bottle,0.941
bottle,0.943
bottle,0.939
bottle,0.938
bottle,0.935
bottle,0.942
bottle,0.950
bottle,0.946
bottle,0.942
bottle,0.948
bottle,0.945
bottle,0.943
bottle,0.941
bottle,0.943
bottle,0.945
bottle,0.949
bottle,0.951
bottle,0.951
bottle,0.955
bottle,0.949
bottle,0.944
bottle,0.939
bottle,0.940
bottle,0.784
bottle,0.789
